qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1400,1300,1400,1300
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,70,75,70,75,70
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1300,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1100,1000,1100,1000
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,15,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1900,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,25,30,25,30,25
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1000,1300,1200,1300,1200
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1500,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,25,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1500,1500,1400,1500,1400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,85,90,85,90,85
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1800,1900,1800,1900,1800
2,2,amt,1300,1600,1500,1600,1500
3,5,prob,80,85,80,85,80
4,6,prob,80,85,80,85,80
5,2,amt,1900,2000,1900,2000,1900
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,1,amt,800,900,800,900,800
2,2,amt,1600,1500,1400,1500,1400
3,3,amt,1000,800,700,800,700
4,4,amt,1400,1300,1200,1300,1200
5,8,prob,25,25,20,25,20
6,10,prob,90,95,90,95,90
7,7,prob,5,5,0,5,0
8,9,prob,80,85,80,85,80
9,6,prob,65,50,45,50,45
10,5,prob,50,60,55,60,55
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,6,prob,60,75,70,75,70
2,8,prob,25,60,55,60,55
3,7,prob,15,40,35,40,35
4,5,prob,25,20,15,20,15
5,9,prob,85,90,85,90,85
6,10,prob,15,35,30,35,30
7,1,amt,100,160,140,160,140
8,2,amt,400,320,300,320,300
9,3,amt,40,60,40,60,40
10,4,amt,320,400,380,400,380
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1600,1600,1500,1600,1500
2,5,prob,45,45,40,45,40
3,6,prob,95,65,60,65,60
4,4,amt,1000,1300,1200,1300,1200
5,2,amt,1900,2000,1900,2000,1900
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,0,60,40,60,40
2,4,amt,340,340,320,340,320
3,1,amt,20,80,60,80,60
4,2,amt,300,280,260,280,260
5,10,prob,80,90,85,90,85
6,7,prob,45,40,35,40,35
7,8,prob,45,40,35,40,35
8,6,prob,95,75,70,75,70
9,5,prob,5,5,0,5,0
10,9,prob,55,50,45,50,45
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,1,amt,400,400,300,400,300
2,2,amt,1200,1200,1100,1200,1100
3,7,prob,0,0,1100,0,NA
4,9,prob,10,50,45,50,45
5,8,prob,5,50,45,50,45
6,10,prob,75,80,75,80,75
7,6,prob,95,100,95,100,95
8,5,prob,15,50,45,50,45
9,4,amt,1100,1100,1000,1100,1000
10,3,amt,600,700,600,700,600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1700,1800,1700,1800,1700
2,4,amt,1800,1900,1800,1900,1800
3,5,prob,5,35,30,35,30
4,6,prob,0,55,50,55,50
5,2,amt,300,800,700,800,700
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,1,amt,160,180,160,180,160
2,2,amt,220,280,260,280,260
3,4,amt,340,340,320,340,320
4,3,amt,20,20,0,20,0
5,9,prob,100,20,100,NA,100
6,10,prob,100,55,50,55,50
7,6,prob,90,95,90,95,90
8,8,prob,35,35,30,35,30
9,7,prob,0,0,30,0,NA
10,5,prob,20,60,55,60,55
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1600,1500,1600,1500
2,1,amt,600,800,700,800,700
3,6,prob,65,45,40,45,40
4,7,prob,85,65,60,65,60
5,10,prob,80,60,55,60,55
6,8,prob,45,45,40,45,40
7,5,prob,30,30,25,30,25
8,9,prob,40,60,55,60,55
9,4,amt,1900,1700,1600,1700,1600
10,3,amt,900,1000,900,1000,900
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1500,1400,1300,1400,1300
2,2,amt,1500,1700,1600,1700,1600
3,4,amt,1200,1400,1300,1400,1300
4,5,prob,5,35,30,35,30
5,6,prob,30,40,35,40,35
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,220,280,260,280,260
2,3,amt,0,100,80,100,80
3,9,prob,70,50,45,50,45
4,7,prob,80,85,80,85,80
5,6,prob,40,65,60,65,60
6,5,prob,40,40,35,40,35
7,10,prob,5,5,0,5,0
8,8,prob,0,50,45,50,45
9,1,amt,60,60,40,60,40
10,2,amt,220,280,260,280,260
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1300,1600,1500,1600,1500
2,1,amt,700,1000,900,1000,900
3,10,prob,25,25,20,25,20
4,9,prob,55,50,45,50,45
5,5,prob,10,50,45,50,45
6,8,prob,90,55,50,55,50
7,6,prob,30,25,20,25,20
8,7,prob,75,80,75,80,75
9,4,amt,1200,1500,1400,1500,1400
10,3,amt,400,500,400,500,400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1500,1500,1400,1500,1400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,1000,500,400,500,400
2,4,amt,1600,1600,1500,1600,1500
3,1,amt,200,200,100,200,100
4,2,amt,1400,1500,1400,1500,1400
5,5,prob,80,85,80,85,80
6,10,prob,90,95,90,95,90
7,8,prob,40,40,35,40,35
8,7,prob,75,80,75,80,75
9,9,prob,0,55,50,55,50
10,6,prob,40,40,35,40,35
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,75,40,35,40,35
2,9,prob,50,55,50,55,50
3,6,prob,20,10,5,10,5
4,10,prob,40,40,35,40,35
5,8,prob,75,70,65,70,65
6,7,prob,35,35,30,35,30
7,3,amt,20,20,0,20,0
8,4,amt,240,240,220,240,220
9,1,amt,160,160,140,160,140
10,2,amt,280,280,260,280,260
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,2000,1500,1400,1500,1400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,340,360,340,360,340
2,1,amt,80,60,40,60,40
3,5,prob,25,65,60,65,60
4,10,prob,50,50,45,50,45
5,6,prob,30,25,20,25,20
6,7,prob,25,65,60,65,60
7,9,prob,85,75,70,75,70
8,8,prob,65,60,55,60,55
9,3,amt,0,140,120,140,120
10,4,amt,360,400,380,400,380
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1600,1600,1500,1600,1500
2,3,amt,200,200,100,200,100
3,1,amt,300,300,200,300,200
4,2,amt,2000,1600,1500,1600,1500
5,7,prob,45,65,60,65,60
6,8,prob,35,35,30,35,30
7,6,prob,65,50,45,50,45
8,10,prob,20,60,55,60,55
9,5,prob,65,60,55,60,55
10,9,prob,10,60,55,60,55
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1600,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,90,60,55,60,55
2,8,prob,10,35,30,35,30
3,7,prob,90,95,90,95,90
4,9,prob,70,35,30,35,30
5,6,prob,5,35,30,35,30
6,10,prob,10,50,45,50,45
7,1,amt,40,160,140,160,140
8,2,amt,200,200,140,200,NA
9,3,amt,100,140,120,140,120
10,4,amt,220,220,200,220,200
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1500,1600,1500,1600,1500
2,1,amt,0,500,400,500,400
3,3,amt,0,0,400,0,NA
4,4,amt,1000,1500,1400,1500,1400
5,8,prob,35,55,50,55,50
6,5,prob,0,0,50,0,NA
7,6,prob,50,60,55,60,55
8,7,prob,70,55,50,55,50
9,9,prob,55,55,50,55,50
10,10,prob,40,45,40,45,40
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,9,prob,85,90,85,90,85
2,7,prob,100,65,60,65,60
3,5,prob,15,55,50,55,50
4,10,prob,0,0,50,0,NA
5,6,prob,90,95,90,95,90
6,8,prob,55,45,40,45,40
7,4,amt,1500,1500,1400,1500,1400
8,3,amt,100,100,0,100,0
9,1,amt,900,1000,900,1000,900
10,2,amt,1700,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,280,280,260,280,260
2,1,amt,140,120,100,120,100
3,10,prob,10,50,45,50,45
4,5,prob,45,45,40,45,40
5,7,prob,20,60,55,60,55
6,9,prob,85,75,70,75,70
7,6,prob,80,85,80,85,80
8,8,prob,10,10,5,10,5
9,4,amt,240,240,220,240,220
10,3,amt,40,40,20,40,20
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,7,prob,90,95,90,95,90
2,8,prob,20,60,55,60,55
3,5,prob,55,45,40,45,40
4,6,prob,5,55,50,55,50
5,9,prob,20,70,65,70,65
6,10,prob,55,65,60,65,60
7,4,amt,1600,1300,1200,1300,1200
8,3,amt,400,300,200,300,200
9,1,amt,200,500,400,500,400
10,2,amt,1500,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,340,360,340,360,340
2,1,amt,100,160,140,160,140
3,4,amt,400,160,400,NA,400
4,3,amt,60,60,40,60,40
5,5,prob,15,15,10,15,10
6,6,prob,40,65,60,65,60
7,8,prob,60,55,50,55,50
8,9,prob,95,100,95,100,95
9,7,prob,90,95,90,95,90
10,10,prob,35,35,30,35,30
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1900,1900,1800,1900,1800
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,500,500,400,500,400
2,4,amt,2000,1900,1800,1900,1800
3,2,amt,1700,1700,1600,1700,1600
4,1,amt,200,200,100,200,100
5,8,prob,10,10,5,10,5
6,5,prob,40,40,35,40,35
7,6,prob,70,55,50,55,50
8,9,prob,100,50,45,50,45
9,10,prob,95,80,75,80,75
10,7,prob,65,50,45,50,45
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,1,amt,200,140,120,140,120
2,2,amt,300,340,320,340,320
3,4,amt,380,340,320,340,320
4,3,amt,0,60,40,60,40
5,5,prob,5,60,55,60,55
6,7,prob,0,0,55,0,NA
7,10,prob,25,50,45,50,45
8,9,prob,35,35,30,35,30
9,8,prob,65,70,65,70,65
10,6,prob,10,35,30,35,30
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1600,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,8,prob,35,55,50,55,50
2,6,prob,10,55,50,55,50
3,10,prob,45,85,80,85,80
4,5,prob,95,50,45,50,45
5,9,prob,30,30,25,30,25
6,7,prob,25,25,20,25,20
7,1,amt,40,40,20,40,20
8,2,amt,260,260,240,260,240
9,4,amt,380,380,360,380,360
10,3,amt,20,20,0,20,0
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,900,1000,900,1000,900
2,4,amt,1000,1000,900,1000,NA
3,6,prob,65,70,65,70,65
4,10,prob,45,45,40,45,40
5,7,prob,5,5,0,5,0
6,8,prob,15,15,10,15,10
7,9,prob,90,70,65,70,65
8,5,prob,85,70,65,70,65
9,2,amt,1100,1100,1000,1100,1000
10,1,amt,800,700,600,700,600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1100,1900,1800,1900,1800
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1900,2000,1900,2000,1900
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1200,1600,1500,1600,1500
2,5,prob,70,85,80,85,80
3,6,prob,40,65,60,65,60
4,2,amt,1300,1700,1600,1700,1600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,55,45,40,45,40
2,5,prob,20,10,5,10,5
3,4,amt,400,360,340,360,340
4,3,amt,120,100,80,100,80
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1400,1400,1300,1400,1300
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,6,prob,95,100,95,100,95
2,5,prob,95,70,65,70,65
3,2,amt,1200,1200,1100,1200,1100
4,4,amt,2000,1200,2000,NA,2000
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,280,280,260,280,260
2,3,amt,80,60,40,60,40
3,5,prob,55,50,45,50,45
4,5,prob,95,100,95,100,95
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,20,50,45,50,45
2,5,prob,55,45,40,45,40
3,4,amt,340,340,320,340,320
4,3,amt,0,0,320,0,NA
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1400,1400,1300,1400,1300
2,4,amt,1100,1100,1000,1100,1000
3,6,prob,90,75,70,75,70
4,5,prob,35,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1600,1900,1800,1900,1800
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,260,260,240,260,240
2,3,amt,180,200,180,200,180
3,5,prob,60,55,50,55,50
4,5,prob,90,95,90,95,90
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1600,1600,1500,1600,1500
2,4,amt,1100,1600,1500,1600,1500
3,6,prob,60,45,40,45,40
4,5,prob,90,100,95,100,95
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1400,1700,1600,1700,1600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1600,1600,1500,1600,1500
2,4,amt,1800,1700,1600,1700,1600
3,5,prob,55,60,55,60,55
4,6,prob,75,90,85,90,85
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,160,180,160,180,160
2,4,amt,320,300,280,300,280
3,5,prob,15,15,10,15,10
4,5,prob,75,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1100,1000,1100,1000
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,0,0,100,0,NA
2,6,prob,5,5,0,5,0
3,2,amt,1100,1100,1000,1100,1000
4,4,amt,1000,1500,1400,1500,1400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,5,5,0,5,0
2,5,prob,0,50,45,50,45
3,4,amt,280,320,300,320,300
4,3,amt,100,100,80,100,80
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1800,1700,1600,1700,1600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,45,45,40,45,40
2,5,prob,95,75,70,75,70
3,3,amt,80,80,60,80,60
4,4,amt,240,240,220,240,220
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1800,1700,1600,1700,1600
2,5,prob,25,25,20,25,20
3,6,prob,5,5,0,5,0
4,2,amt,2000,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1000,1300,1200,1300,1200
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,100,0,100,NA,100
2,5,prob,85,75,70,75,70
3,3,amt,40,140,120,140,120
4,4,amt,400,320,300,320,300
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1800,1900,1800,1900,1800
2,5,prob,35,55,50,55,50
3,6,prob,35,35,30,35,30
4,2,amt,1700,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1900,2000,1900,2000,1900
2,4,amt,2000,2000,2000,NA,2000
3,6,prob,15,15,10,15,10
4,5,prob,70,70,65,70,65
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,65,60,55,60,55
2,5,prob,60,65,60,65,60
3,4,amt,300,320,300,320,300
4,3,amt,20,120,100,120,100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1700,1700,1600,1700,1600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,6,prob,50,50,45,50,45
2,5,prob,10,10,5,10,5
3,4,amt,1200,1600,1500,1600,1500
4,2,amt,1800,1900,1800,1900,1800
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,160,180,160,180,160
2,4,amt,220,220,200,220,200
3,5,prob,100,55,50,55,50
4,5,prob,20,70,65,70,65
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1700,1700,1600,1700,1600
2,2,amt,1900,1900,1800,1900,1800
3,6,prob,45,25,20,25,20
4,5,prob,55,70,65,70,65
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,100,100,80,100,80
2,4,amt,360,360,340,360,340
3,5,prob,95,50,45,50,45
4,5,prob,0,50,45,50,45
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1800,1700,1800,1700
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,40,60,55,60,55
2,5,prob,45,45,40,45,40
3,4,amt,260,260,240,260,240
4,3,amt,80,80,60,80,60
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,95,70,65,70,65
2,6,prob,35,50,45,50,45
3,4,amt,1400,1300,1200,1300,1200
4,2,amt,1000,1000,1200,1000,NA
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1600,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
2,4,amt,1500,1500,1400,1500,1400
3,6,prob,50,65,60,65,60
4,5,prob,45,70,65,70,65
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,50,75,70,75,70
2,5,prob,5,5,0,5,0
3,3,amt,140,120,100,120,100
4,4,amt,340,320,300,320,300
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1100,1100,1000,1100,1000
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,3,amt,40,100,80,100,80
2,4,amt,280,320,300,320,300
3,5,prob,40,55,50,55,50
4,5,prob,50,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,6,prob,15,35,30,35,30
2,5,prob,35,55,50,55,50
3,2,amt,1300,1300,1200,1300,1200
4,4,amt,1400,1400,1300,1400,1300
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1600,1700,1600,1700,1600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,1700,1800,1700,1800,1700
2,5,prob,50,65,60,65,60
3,6,prob,45,45,40,45,40
4,2,amt,2000,1700,1600,1700,1600
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,4,amt,400,0,400,NA,400
2,3,amt,20,20,0,20,0
3,5,prob,90,70,65,70,65
4,5,prob,55,55,50,55,50
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1200,1200,1100,1200,1100
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,45,65,60,65,60
2,6,prob,80,85,80,85,80
3,4,amt,1800,1900,1800,1900,1800
4,2,amt,1200,1500,1400,1500,1400
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,65,75,70,75,70
2,5,prob,45,50,45,50,45
3,4,amt,320,340,320,340,320
4,3,amt,20,40,20,40,20
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1000,1000,100,1000,NA
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,100,0,100,NA,100
2,6,prob,20,20,15,20,15
3,4,amt,1800,1700,1600,1700,1600
4,2,amt,1900,1800,1700,1800,1700
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,30,30,25,30,25
2,5,prob,75,55,50,55,50
3,4,amt,360,380,360,380,360
4,3,amt,40,40,20,40,20
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1700,1600,1500,1600,1500
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,2,amt,1000,1500,1400,1500,1400
2,4,amt,1700,1600,1500,1600,1500
3,5,prob,100,60,55,60,55
4,6,prob,30,30,25,30,25
qorder,cl_idx,elicit,start_amt,min_choice_p0,max_choice_p1,min_choice_0,max_choice_1
1,5,prob,95,65,60,65,60
2,5,prob,75,50,45,50,45
3,3,amt,180,180,160,180,160
4,4,amt,300,280,260,280,260
